2023-05-25 08:39:52
x (mm),y (mm),image_filename,exposure_time (s),max_dwelltime (s),magnification
-0.150,0.625,HD_vassar_seal.png,25.8,8.484261940735459e-05,2000
-0.300,0.625,LD_vassar_seal.png,25.8,0.001872446518299686,2000
-0.450,0.625,vassar_seal.png,25.8,0.0023395219182159458,2000
-0.600,0.625,HD_vassar_seal.png,25.8,8.484261940735459e-05,2000
-0.750,0.625,LD_vassar_seal.png,25.8,0.001872446518299686,2000
-0.900,0.625,vassar_seal.png,25.8,0.0023395219182159458,2000
-1.050,0.625,HD_vassar_seal.png,25.8,8.484261940735459e-05,2000
-1.200,0.625,LD_vassar_seal.png,25.8,0.001872446518299686,2000
-1.350,0.625,vassar_seal.png,25.8,0.0023395219182159458,2000
-0.150,0.875,VC_outline.png,4,4.36229627555163e-05,2000
-0.300,0.875,VC_outline.png,4,4.36229627555163e-05,2000
-0.450,0.875,VC_outline.png,4,4.36229627555163e-05,2000
-0.600,0.875,VC_outline.png,4,4.36229627555163e-05,2000
-0.750,0.875,VC_outline.png,4,4.36229627555163e-05,2000
-0.900,0.875,VC_outline.png,4,4.36229627555163e-05,2000
-1.050,0.875,VC_outline.png,4,4.36229627555163e-05,2000
-1.200,0.875,VC_outline.png,4,4.36229627555163e-05,2000
-1.350,0.875,VC_outline.png,4,4.36229627555163e-05,2000
-1.500,0.875,VC_outline.png,4,4.36229627555163e-05,2000
-0.150,1.125,holes/2048.png,1,1.5881247826137427e-06,2000
-0.300,1.125,holes/2048.png,2,3.1762495652274854e-06,2000
-0.450,1.125,holes/2048.png,3,4.764374347841228e-06,2000
-0.600,1.125,holes/2048.png,4,6.352499130454971e-06,2000
-0.750,1.125,holes/2048.png,5,7.940623913068713e-06,2000
-0.900,1.125,holes/2048.png,6,9.528748695682456e-06,2000
-1.050,1.125,holes/2048.png,7,1.1116873478296198e-05,2000
-1.200,1.125,holes/2048.png,8,1.2704998260909942e-05,2000
-1.350,1.125,holes/2048.png,9,1.4293123043523683e-05,2000
-1.500,1.125,holes/2048.png,10,1.5881247826137425e-05,2000
-1.650,1.125,holes/2048.png,11,1.746937260875117e-05,2000
-1.800,1.125,holes/2048.png,12,1.9057497391364912e-05,2000
-1.950,1.125,holes/2048.png,13,2.0645622173978654e-05,2000
-2.100,1.125,holes/2048.png,14,2.2233746956592396e-05,2000
-2.250,1.125,holes/2048.png,15,2.382187173920614e-05,2000
-2.400,1.125,holes/2048.png,16,2.5409996521819883e-05,2000
-2.550,1.125,holes/2048.png,17,2.6998121304433625e-05,2000
-2.700,1.125,holes/2048.png,18,2.8586246087047367e-05,2000
-2.850,1.125,holes/2048.png,19,3.0174370869661112e-05,2000
-3.000,1.125,holes/2048.png,20,3.176249565227485e-05,2000
-0.150,1.375,holes/2048.png,1,1.5881247826137427e-06,2000
-0.300,1.375,holes/2048.png,2,3.1762495652274854e-06,2000
-0.450,1.375,holes/2048.png,3,4.764374347841228e-06,2000
-0.600,1.375,holes/2048.png,4,6.352499130454971e-06,2000
-0.750,1.375,holes/2048.png,5,7.940623913068713e-06,2000
-0.900,1.375,holes/2048.png,6,9.528748695682456e-06,2000
-1.050,1.375,holes/2048.png,7,1.1116873478296198e-05,2000
-1.200,1.375,holes/2048.png,8,1.2704998260909942e-05,2000
-1.350,1.375,holes/2048.png,9,1.4293123043523683e-05,2000
-1.500,1.375,holes/2048.png,10,1.5881247826137425e-05,2000
-1.650,1.375,holes/2048.png,11,1.746937260875117e-05,2000
-1.800,1.375,holes/2048.png,12,1.9057497391364912e-05,2000
-1.950,1.375,holes/2048.png,13,2.0645622173978654e-05,2000
-2.100,1.375,holes/2048.png,14,2.2233746956592396e-05,2000
-2.250,1.375,holes/2048.png,15,2.382187173920614e-05,2000
-2.400,1.375,holes/2048.png,16,2.5409996521819883e-05,2000
-2.550,1.375,holes/2048.png,17,2.6998121304433625e-05,2000
-2.700,1.375,holes/2048.png,18,2.8586246087047367e-05,2000
-2.850,1.375,holes/2048.png,19,3.0174370869661112e-05,2000
-3.000,1.375,holes/2048.png,20,3.176249565227485e-05,2000
-0.150,1.625,pillars/64.png,1,0.0002860655774486091,2000
-0.300,1.625,pillars/64.png,2,0.0005721311548972182,2000
-0.450,1.625,pillars/64.png,3,0.0008581967323458274,2000
-0.600,1.625,pillars/64.png,4,0.0011442623097944365,2000
-0.750,1.625,pillars/64.png,5,0.0014303278872430456,2000
-0.900,1.625,pillars/64.png,6,0.0017163934646916548,2000
-1.050,1.625,pillars/64.png,7,0.0020024590421402638,2000
-1.200,1.625,pillars/64.png,8,0.002288524619588873,2000
-1.350,1.625,pillars/64.png,9,0.002574590197037482,2000
-1.500,1.625,pillars/64.png,10,0.0028606557744860913,2000
-1.650,1.625,pillars/64.png,11,0.0031467213519347005,2000
-1.800,1.625,pillars/64.png,12,0.0034327869293833096,2000
-1.950,1.625,pillars/64.png,13,0.003718852506831919,2000
-2.100,1.625,pillars/64.png,14,0.0040049180842805275,2000
-2.250,1.625,pillars/64.png,15,0.004290983661729137,2000
-2.400,1.625,pillars/64.png,16,0.004577049239177746,2000
-2.550,1.625,pillars/64.png,17,0.004863114816626355,2000
-2.700,1.625,pillars/64.png,18,0.005149180394074964,2000
-2.850,1.625,pillars/64.png,19,0.005435245971523573,2000
-3.000,1.625,pillars/64.png,20,0.005721311548972183,2000
-0.150,1.875,pillars/64.png,1,0.0002860655774486091,2000
-0.300,1.875,pillars/64.png,2,0.0005721311548972182,2000
-0.450,1.875,pillars/64.png,3,0.0008581967323458274,2000
-0.600,1.875,pillars/64.png,4,0.0011442623097944365,2000
-0.750,1.875,pillars/64.png,5,0.0014303278872430456,2000
-0.900,1.875,pillars/64.png,6,0.0017163934646916548,2000
-1.050,1.875,pillars/64.png,7,0.0020024590421402638,2000
-1.200,1.875,pillars/64.png,8,0.002288524619588873,2000
-1.350,1.875,pillars/64.png,9,0.002574590197037482,2000
-1.500,1.875,pillars/64.png,10,0.0028606557744860913,2000
-1.650,1.875,pillars/64.png,11,0.0031467213519347005,2000
-1.800,1.875,pillars/64.png,12,0.0034327869293833096,2000
-1.950,1.875,pillars/64.png,13,0.003718852506831919,2000
-2.100,1.875,pillars/64.png,14,0.0040049180842805275,2000
-2.250,1.875,pillars/64.png,15,0.004290983661729137,2000
-2.400,1.875,pillars/64.png,16,0.004577049239177746,2000
-2.550,1.875,pillars/64.png,17,0.004863114816626355,2000
-2.700,1.875,pillars/64.png,18,0.005149180394074964,2000
-2.850,1.875,pillars/64.png,19,0.005435245971523573,2000
-3.000,1.875,pillars/64.png,20,0.005721311548972183,2000
